grid_id,center_lat,center_lon,predicted_demand,actual_demand,station_count,nearby_subway_stations_count,nearby_bus_stops_count,nearby_restaurants_count,nearby_shops_count,nearby_offices_count,nearby_universities_count,nearby_schools_count,nearby_hospitals_count,nearby_banks_count,nearby_parks_area_sqm
725,42.301249999999996,-71.09425,37.7205,0.0,0,0,0,2,1,0,0,0,1,0,1990115.580278434
737,42.301249999999996,-71.04025,30.749323,0.0,0,0,0,0,0,0,0,0,0,0,310913.53666112764
738,42.301249999999996,-71.03575000000001,36.10819,0.0,0,0,0,2,1,1,0,0,0,0,286974.20494357456
739,42.301249999999996,-71.03125,38.003605,0.0,0,0,0,4,1,1,0,0,0,0,292043.5406833914
740,42.301249999999996,-71.02674999999999,38.003605,0.0,0,0,0,4,1,1,0,0,0,0,292043.5406833914
746,42.301249999999996,-70.99975,29.553068,0.0,0,0,0,0,0,0,0,0,0,0,188060.47883496538
747,42.301249999999996,-70.99525,29.553068,0.0,0,0,0,0,0,0,0,0,0,0,188060.47883496538
751,42.30575,-71.17525,20.238943,0.0,0,0,0,0,0,0,0,1,0,0,0.0
752,42.30575,-71.17075,28.01459,0.0,0,0,0,0,0,0,0,0,0,0,109936.70423198532
753,42.30575,-71.16625,29.20249,0.0,0,0,0,1,0,0,0,1,0,0,121577.97978722584
754,42.30575,-71.16175000000001,29.20249,0.0,0,0,0,1,0,0,0,1,0,0,121577.97978722584
759,42.30575,-71.13925,23.934763,0.0,0,0,0,0,0,1,0,4,0,0,247392.94136167192
760,42.30575,-71.13475,23.642784,0.0,0,0,0,0,0,1,0,7,1,0,247392.94136167192
779,42.30575,-71.04925,38.642357,0.0,0,0,0,0,2,4,0,1,0,0,183958.83933539237
780,42.30575,-71.04475,27.882414,0.0,0,0,0,0,0,0,0,0,0,0,162958.48116974265
781,42.30575,-71.04025,27.025602,0.0,0,0,0,0,0,0,0,0,0,0,416571.6633933163
782,42.30575,-71.03575000000001,31.036535,0.0,0,0,0,0,0,0,0,0,0,0,286974.20494357456
783,42.30575,-71.03125,31.036535,0.0,0,0,0,0,0,0,0,0,0,0,286974.20494357456
786,42.30575,-71.01775,29.465895,0.0,0,0,0,0,0,1,0,1,0,0,81242.51531338716
787,42.30575,-71.01325,29.465895,0.0,0,0,0,0,0,1,0,1,0,0,81242.51531338716
788,42.30575,-71.00874999999999,29.465895,0.0,0,0,0,0,0,1,0,1,0,0,81242.51531338716
789,42.30575,-71.00425000000001,28.01459,0.0,0,0,0,0,0,0,0,0,0,0,81242.51531338716
790,42.30575,-70.99975,29.553068,0.0,0,0,0,0,0,0,0,0,0,0,188060.47883496538
791,42.30575,-70.99525,30.481787,0.0,0,0,0,0,0,0,0,1,0,0,188060.47883496538
793,42.310249999999996,-71.18425,23.773645,0.0,0,0,0,0,0,0,0,4,0,0,64173.5125334789
794,42.310249999999996,-71.17975000000001,23.830523,0.0,0,0,0,0,0,0,0,2,0,0,64173.5125334789
795,42.310249999999996,-71.17525,31.036535,0.0,0,0,0,0,0,0,0,0,0,0,290618.3922291229
796,42.310249999999996,-71.17075,31.036535,0.0,0,0,0,0,0,0,0,0,0,0,290618.3922291229
797,42.310249999999996,-71.16625,32.498444,0.0,0,0,0,1,0,1,0,0,0,0,295700.9374480631
798,42.310249999999996,-71.16175000000001,32.498444,0.0,0,0,0,1,0,1,0,0,0,0,295700.9374480631
799,42.310249999999996,-71.15725,28.130869,0.0,0,0,0,1,0,0,0,0,0,0,69256.05775241907
800,42.310249999999996,-71.15275,25.480436,0.0,0,0,1,0,0,0,0,0,0,0,7008.877552067641
803,42.310249999999996,-71.13925,23.051245,0.0,0,0,0,0,0,0,0,5,0,0,247392.94136167192
804,42.310249999999996,-71.13475,21.714579,0.0,0,0,0,0,0,0,0,7,0,0,247392.94136167192
805,42.310249999999996,-71.13025,22.74166,0.0,0,0,1,0,0,0,0,5,0,0,247392.94136167192
829,42.310249999999996,-71.02225,21.255568,0.0,0,0,0,0,0,1,0,1,0,0,0.0
830,42.310249999999996,-71.01775,21.255568,0.0,0,0,0,0,0,1,0,1,0,0,0.0
831,42.310249999999996,-71.01325,21.255568,0.0,0,0,0,0,0,1,0,1,0,0,0.0
832,42.310249999999996,-71.00874999999999,21.255568,0.0,0,0,0,0,0,1,0,1,0,0,0.0
833,42.310249999999996,-71.00425000000001,21.255568,0.0,0,0,0,0,0,1,0,1,0,0,0.0
834,42.310249999999996,-70.99975,29.553068,0.0,0,0,0,0,0,0,0,0,0,0,188060.47883496538
835,42.310249999999996,-70.99525,30.481787,0.0,0,0,0,0,0,0,0,1,0,0,188060.47883496538
837,42.314750000000004,-71.18425,23.830523,0.0,0,0,0,0,0,0,0,3,0,0,64173.5125334789
838,42.314750000000004,-71.17975000000001,28.369713,0.0,0,0,0,3,1,0,0,2,0,1,64173.5125334789
839,42.314750000000004,-71.17525,34.42291,0.0,0,0,0,3,1,0,0,0,0,1,290618.3922291229
840,42.314750000000004,-71.17075,32.072197,0.0,0,0,0,2,1,1,0,2,0,1,290618.3922291229
841,42.314750000000004,-71.16625,26.612654,0.0,0,0,0,0,0,2,0,2,0,0,288692.0598959955
842,42.314750000000004,-71.16175000000001,26.612654,0.0,0,0,0,0,0,2,0,2,0,0,288692.0598959955
843,42.314750000000004,-71.15725,29.059591,0.0,0,0,0,0,0,0,0,1,0,0,62247.18020035143
848,42.314750000000004,-71.13475,29.508284,0.0,0,0,1,0,0,0,0,1,0,0,247392.94136167192
849,42.314750000000004,-71.13025,26.912544,0.0,0,0,0,0,0,0,0,1,0,0,674747.4467559486
850,42.314750000000004,-71.12575000000001,28.487524,0.0,0,0,0,0,0,1,0,0,0,0,427354.50539427664
851,42.314750000000004,-71.12125,28.22967,0.0,0,0,0,1,0,2,0,0,0,0,427354.50539427664
873,42.314750000000004,-71.02225,21.255568,0.0,0,0,0,0,0,1,0,1,0,0,0.0
874,42.314750000000004,-71.01775,21.255568,0.0,0,0,0,0,0,1,0,1,0,0,0.0
875,42.314750000000004,-71.01325,21.01121,0.0,0,0,0,0,0,2,0,1,0,0,0.0
876,42.314750000000004,-71.00874999999999,21.01121,0.0,0,0,0,0,0,2,0,1,0,0,0.0
877,42.314750000000004,-71.00425000000001,21.01121,0.0,0,0,0,0,0,2,0,1,0,0,0.0
878,42.314750000000004,-70.99975,21.255568,0.0,0,0,0,0,0,1,0,1,0,0,0.0
879,42.314750000000004,-70.99525,21.255568,0.0,0,0,0,0,0,1,0,1,0,0,0.0
887,42.31925,-71.15725,29.290691,0.0,0,0,0,2,3,0,0,2,0,0,68759.51699385788
888,42.31925,-71.15275,25.290365,0.0,0,0,0,0,0,0,0,0,0,0,11144.734796679328
889,42.31925,-71.14825,25.290365,0.0,0,0,0,0,0,0,0,0,0,0,11144.734796679328
893,42.31925,-71.13025,26.912544,0.0,0,0,0,0,0,0,0,1,0,0,702533.8753399876
894,42.31925,-71.12575000000001,26.19413,0.0,0,0,0,0,0,0,0,0,0,0,715485.0371938285
895,42.31925,-71.12125,26.19413,0.0,0,0,0,0,0,0,0,0,0,0,723023.169926056
918,42.31925,-71.01775,21.255568,0.0,0,0,0,0,0,1,0,1,0,0,0.0
919,42.31925,-71.01325,21.01121,0.0,0,0,0,0,0,2,0,1,0,0,0.0
920,42.31925,-71.00874999999999,21.01121,0.0,0,0,0,0,0,2,0,1,0,0,0.0
921,42.31925,-71.00425000000001,21.01121,0.0,0,0,0,0,0,2,0,1,0,0,0.0
922,42.31925,-70.99975,21.255568,0.0,0,0,0,0,0,1,0,1,0,0,0.0
923,42.31925,-70.99525,21.255568,0.0,0,0,0,0,0,1,0,1,0,0,0.0
937,42.32374999999999,-71.13025,31.78636,0.0,0,0,1,2,3,0,0,1,0,0,162565.56061566778
957,42.32374999999999,-71.04025,28.267708,0.0,0,0,0,0,0,0,0,0,0,0,44190.58320520281
